Shortname,Name,Paper,Yield Stress,Temperature C,Strain rate /s,Compression/Tension,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-16.Ni-9.5Al-6.Cr-5.W,0Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",420,600,0.0001,-1,tensile,451,63.5,16,9.5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W,0Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",336,800,0.0001,-1,tensile,451,63.5,16,9.5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W,0Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",210,900,0.0001,-1,tensile,451,63.5,16,9.5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-1.8Ta,1.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",599,25,0.0001,-1,tensile,452,61.7,16,9.5,6,5,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-1.8Ta,1.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",522,800,0.0001,-1,tensile,452,61.7,16,9.5,6,5,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-1.8Ta,1.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",508,700,0.0001,-1,tensile,452,61.7,16,9.5,6,5,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-1.8Ta,1.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",492,600,0.0001,-1,tensile,452,61.7,16,9.5,6,5,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-1.8Ta,1.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",455,900,0.0001,-1,tensile,452,61.7,16,9.5,6,5,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",608,25,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",545,800,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",524,700,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",506,600,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",499,900,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",324,1000,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.5Al-6.Cr-5.W-2.8Ta,2.8Ta,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Effect of Ta additions on microstructure and mechanical properties of a single-crystal Co-Al-W-base alloy. Mater. Lett. 149, 58–61 (2015).",215,1000,0.0001,-1,tensile,453,60.7,16,9.5,6,5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-9.Al-5.W-3.Ti,3Ti,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Microstructural stability and tensile properties of a Ti-containing single-crystal Co-Ni-Al-W-base alloy. Mater. Sci. Eng. A 646, 45–51 (2015).",653,25,0.0001,-1,tensile,454,66,17,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-9.Al-5.W-3.Ti,3Ti,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Microstructural stability and tensile properties of a Ti-containing single-crystal Co-Ni-Al-W-base alloy. Mater. Sci. Eng. A 646, 45–51 (2015).",599,800,0.0001,-1,tensile,454,66,17,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-9.Al-5.W-3.Ti,3Ti,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Microstructural stability and tensile properties of a Ti-containing single-crystal Co-Ni-Al-W-base alloy. Mater. Sci. Eng. A 646, 45–51 (2015).",569,700,0.0001,-1,tensile,454,66,17,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-9.Al-5.W-3.Ti,3Ti,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Microstructural stability and tensile properties of a Ti-containing single-crystal Co-Ni-Al-W-base alloy. Mater. Sci. Eng. A 646, 45–51 (2015).",550,600,0.0001,-1,tensile,454,66,17,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-9.Al-5.W-3.Ti,3Ti,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Microstructural stability and tensile properties of a Ti-containing single-crystal Co-Ni-Al-W-base alloy. Mater. Sci. Eng. A 646, 45–51 (2015).",490,900,0.0001,-1,tensile,454,66,17,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-9.Al-5.W-3.Ti,3Ti,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Microstructural stability and tensile properties of a Ti-containing single-crystal Co-Ni-Al-W-base alloy. Mater. Sci. Eng. A 646, 45–51 (2015).",236,1000,0.0001,-1,tensile,454,66,17,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-10.Al-6.Cr-5.W-2.7Ta,5W,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Temperature dependence of deformation behavior in a Co-Al-W-base single crystal superalloy. Mater. Sci. Eng. A 620, 36–43 (2015).",613,25,0.0001,-1,tensile,455,59.3,17,10,6,5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-10.Al-6.Cr-5.W-2.7Ta,5W,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Temperature dependence of deformation behavior in a Co-Al-W-base single crystal superalloy. Mater. Sci. Eng. A 620, 36–43 (2015).",546,800,0.0001,-1,tensile,455,59.3,17,10,6,5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-10.Al-6.Cr-5.W-2.7Ta,5W,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Temperature dependence of deformation behavior in a Co-Al-W-base single crystal superalloy. Mater. Sci. Eng. A 620, 36–43 (2015).",527,700,0.0001,-1,tensile,455,59.3,17,10,6,5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-10.Al-6.Cr-5.W-2.7Ta,5W,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Temperature dependence of deformation behavior in a Co-Al-W-base single crystal superalloy. Mater. Sci. Eng. A 620, 36–43 (2015).",508,600,0.0001,-1,tensile,455,59.3,17,10,6,5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-10.Al-6.Cr-5.W-2.7Ta,5W,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Temperature dependence of deformation behavior in a Co-Al-W-base single crystal superalloy. Mater. Sci. Eng. A 620, 36–43 (2015).",501,900,0.0001,-1,tensile,455,59.3,17,10,6,5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-10.Al-6.Cr-5.W-2.7Ta,5W,"Shi, L., Yu, J. J., Cui, C. Y. & Sun, X. F. Temperature dependence of deformation behavior in a Co-Al-W-base single crystal superalloy. Mater. Sci. Eng. A 620, 36–43 (2015).",325,1000,0.0001,-1,tensile,455,59.3,17,10,6,5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ti,Co-20Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",338,800,0.0001,-1,tensile,506,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ti,Co-20Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",326,950,0.0001,-1,tensile,506,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ti,Co-20Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",246,600,0.0001,-1,tensile,506,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ti,Co-20Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",227,25,0.0001,-1,tensile,506,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ti,Co-20Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",208,400,0.0001,-1,tensile,506,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ti,Co-20Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",201,1050,0.0001,-1,tensile,506,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-21.Ti,Co-21Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",263,600,0.0001,-1,tensile,505,79,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-21.Ti,Co-21Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",185,25,0.0001,-1,tensile,505,79,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-23.Ti,Co-23Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",376,800,0.0001,-1,tensile,294,77,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-23.Ti,Co-23Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",324,600,0.0001,-1,tensile,294,77,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-23.Ti,Co-23Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",247,950,0.0001,-1,tensile,294,77,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-23.Ti,Co-23Ti,"Takasugi, T. HIGH TEMPERATURE STRENGTH AND DUCTILITY OF POLYCRYSTALLINE Co,Ti. Acro nferati vol. 33 (1985).",175,25,0.0001,-1,tensile,294,77,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-2.Ta-9.Hf,Co-9Al-2Ta-9Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",768,25,0.0001,1,compresssion,579,80,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Co-9.Al-2.Ta-9.Hf,Co-9Al-2Ta-9Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",757,600,0.0001,1,compresssion,579,80,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Co-9.Al-2.Ta-9.Hf,Co-9Al-2Ta-9Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",533,700,0.0001,1,compresssion,579,80,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Co-9.Al-2.Ta-9.Hf,Co-9Al-2Ta-9Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",319,800,0.0001,1,compresssion,579,80,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Co-9.Al-4.W-2.Ta-5.Hf,Co-9Al-3W-2Ta-5Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",1880,25,0.0001,1,compresssion,577,80,0,9,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Co-9.Al-4.W-2.Ta-5.Hf,Co-9Al-3W-2Ta-5Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",911,600,0.0001,1,compresssion,577,80,0,9,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Co-9.Al-4.W-2.Ta-5.Hf,Co-9Al-3W-2Ta-5Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",669,700,0.0001,1,compresssion,577,80,0,9,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Co-9.Al-4.W-2.Ta-5.Hf,Co-9Al-3W-2Ta-5Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",554,800,0.0001,1,compresssion,577,80,0,9,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Co-9.Al-3.W-2.Ta-6.Hf,Co-9Al-4W-2Ta-6Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",1800,25,0.0001,1,compresssion,578,80,0,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Co-9.Al-3.W-2.Ta-6.Hf,Co-9Al-4W-2Ta-6Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",1067,600,0.0001,1,compresssion,578,80,0,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Co-9.Al-3.W-2.Ta-6.Hf,Co-9Al-4W-2Ta-6Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",848,750,0.0001,1,compresssion,578,80,0,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Co-9.Al-3.W-2.Ta-6.Hf,Co-9Al-4W-2Ta-6Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",550,800,0.0001,1,compresssion,578,80,0,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Co-9.Al-7.W-2.Ta-2.Hf,Co-9Al-7W-2Ta-2Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",1688,25,0.0001,1,compresssion,576,80,0,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Co-9.Al-7.W-2.Ta-2.Hf,Co-9Al-7W-2Ta-2Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",788,600,0.0001,1,compresssion,576,80,0,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Co-9.Al-7.W-2.Ta-2.Hf,Co-9Al-7W-2Ta-2Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",832,700,1.0001,1,compresssion,576,80,0,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Co-9.Al-7.W-2.Ta-2.Hf,Co-9Al-7W-2Ta-2Hf,"Wang, S., Li, S. & Sha, J. Effect of Hf additions on microstructure and mechanical properties of a Co-9Al-9W-2Ta alloy at room and high-temperatures. in Procedia Engineering vol. 27 1162–1168 (Elsevier Ltd, 2012).",769,800,0.0001,1,compresssion,576,80,0,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Co-1.Al-15.Cr-11.Ti,CTC-Al,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",629.91,25,0.0001,1,,774,73,0,1,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-1.Al-15.Cr-11.Ti,CTC-Al,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",509.87,749.56,0.0001,1,,774,73,0,1,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-1.Al-15.Cr-11.Ti,CTC-Al,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",468.82,598.58,0.0001,1,,774,73,0,1,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-1.Al-15.Cr-11.Ti,CTC-Al,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",430.04,849.02,0.0001,1,,774,73,0,1,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-1.Al-15.Cr-11.Ti,CTC-Al,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",335.25,898.76,0.0001,1,,774,73,0,1,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-1.Al-15.Cr-11.Ti,CTC-Al,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",174.05,1003.6,0.0001,1,,774,73,0,1,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-1.W-11.Ti,CTC-W,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",682.88,25,0.0001,1,,776,73,0,0,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-1.W-11.Ti,CTC-W,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",526.89,751.33,0.0001,1,,776,73,0,0,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-1.W-11.Ti,CTC-W,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",525.57,600.36,0.0001,1,,776,73,0,0,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-1.W-11.Ti,CTC-W,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",464.08,852.58,0.0001,1,,776,73,0,0,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-1.W-11.Ti,CTC-W,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",386.34,898.76,0.0001,1,,776,73,0,0,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-1.W-11.Ti,CTC-W,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",204.33,1000,0.0001,1,,776,73,0,0,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-11.Ti,CTC-1,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",624.24,25,0.0001,1,,644,74,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-11.Ti,CTC-1,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",581.39,849.02,0.0001,1,,644,74,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-11.Ti,CTC-1,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",432.88,598.58,0.0001,1,,644,74,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-11.Ti,CTC-1,"Zenk, C. H. et al. The Effect of Alloying on the Thermophysical and Mechanical Properties of Co–Ti–Cr-Based Superalloys. in 909–919 (2020). doi:10.1007/978-3-030-51834-9_89.",419.06,751.33,0.0001,1,,644,74,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
